participant_id,session_id,window_start_ms,window_end_ms,label,quality_state,ambient_light,environment,motion_condition
F-000002,FIXTURE-0002,30000,40000,1,usable,0.8160026655092512,outdoor,walking
F-000002,FIXTURE-0002,40000,50000,1,usable,0.8230374621418864,outdoor,seated
F-000002,FIXTURE-0002,50000,60000,1,usable,0.8368989155523782,outdoor,seated
F-000002,FIXTURE-0002,60000,70000,0,usable,0.8425451876053742,outdoor,seated
F-000002,FIXTURE-0002,70000,80000,0,usable,0.8091625171567691,outdoor,walking
F-000002,FIXTURE-0002,80000,90000,0,usable,0.8401289710119357,outdoor,seated
F-000002,FIXTURE-0002,90000,100000,1,usable,0.8229610316981113,outdoor,seated
F-000002,FIXTURE-0002,100000,110000,1,usable,0.9208807952479426,outdoor,seated
F-000002,FIXTURE-0002,110000,120000,1,usable,0.7956102878399672,outdoor,walking
F-000003,FIXTURE-0003,0,10000,1,usable,0.2473199058935968,quiet_indoor,seated
F-000003,FIXTURE-0003,10000,20000,1,usable,0.17778461940152787,quiet_indoor,seated
F-000003,FIXTURE-0003,20000,30000,1,usable,0.23116285535522432,quiet_indoor,seated
F-000003,FIXTURE-0003,30000,40000,0,usable,0.19118067641967842,quiet_indoor,walking
F-000003,FIXTURE-0003,40000,50000,0,usable,0.21503723471877784,quiet_indoor,seated
F-000003,FIXTURE-0003,50000,60000,0,usable,0.1905789326690799,quiet_indoor,seated
F-000003,FIXTURE-0003,60000,70000,1,usable,0.22954935653081399,quiet_indoor,seated
F-000003,FIXTURE-0003,70000,80000,1,usable,0.18647097126122691,quiet_indoor,walking
F-000003,FIXTURE-0003,80000,90000,1,usable,0.22310235505607634,quiet_indoor,seated
F-000003,FIXTURE-0003,90000,100000,0,usable,0.1807404120337714,quiet_indoor,seated
F-000003,FIXTURE-0003,100000,110000,0,usable,0.227731922432181,quiet_indoor,seated
F-000003,FIXTURE-0003,110000,120000,0,usable,0.15053946531195225,quiet_indoor,walking
F-000004,FIXTURE-0004,0,10000,0,usable,0.5395808383496977,conversation_noise,seated
F-000004,FIXTURE-0004,10000,20000,0,usable,0.5327270595315858,conversation_noise,seated
F-000004,FIXTURE-0004,20000,30000,0,usable,0.5790412819009106,conversation_noise,seated
F-000004,FIXTURE-0004,30000,40000,1,usable,0.5280256344364064,conversation_noise,walking
F-000004,FIXTURE-0004,40000,50000,1,usable,0.551679483234863,conversation_noise,seated
F-000004,FIXTURE-0004,50000,60000,1,usable,0.5628994165246458,conversation_noise,seated
F-000004,FIXTURE-0004,60000,70000,0,usable,0.5742364716039661,conversation_noise,seated
F-000004,FIXTURE-0004,70000,80000,0,usable,0.5736302399247545,conversation_noise,walking
F-000004,FIXTURE-0004,80000,90000,0,usable,0.5643042235328528,conversation_noise,seated
F-000004,FIXTURE-0004,90000,100000,1,usable,0.522203834018979,conversation_noise,seated
F-000004,FIXTURE-0004,100000,110000,1,usable,0.5625247349787857,conversation_noise,seated
F-000004,FIXTURE-0004,110000,120000,1,usable,0.591331063023963,conversation_noise,walking
F-000005,FIXTURE-0005,0,10000,1,usable,0.8601096970354066,outdoor,seated
F-000005,FIXTURE-0005,10000,20000,1,usable,0.8576155941124506,outdoor,seated
F-000005,FIXTURE-0005,20000,30000,1,usable,0.8359150418008642,outdoor,seated
F-000005,FIXTURE-0005,30000,40000,0,usable,0.8911149742658575,outdoor,walking
F-000005,FIXTURE-0005,40000,50000,0,usable,0.8738515118776617,outdoor,seated
F-000005,FIXTURE-0005,50000,60000,0,usable,0.850233667836706,outdoor,seated
F-000005,FIXTURE-0005,60000,70000,1,usable,0.8242895252969744,outdoor,seated
F-000005,FIXTURE-0005,70000,80000,1,usable,0.8597744900813242,outdoor,walking
F-000005,FIXTURE-0005,80000,90000,1,usable,0.8081929405212549,outdoor,seated
F-000005,FIXTURE-0005,90000,100000,0,usable,0.7843772699751246,outdoor,seated
F-000005,FIXTURE-0005,100000,110000,0,usable,0.8746765985415981,outdoor,seated
F-000005,FIXTURE-0005,110000,120000,0,usable,0.8248760477010432,outdoor,walking
F-000006,FIXTURE-0006,0,10000,0,usable,0.22631873811024686,quiet_indoor,seated
F-000006,FIXTURE-0006,10000,20000,0,usable,0.2547174526413828,quiet_indoor,seated
F-000006,FIXTURE-0006,20000,30000,0,usable,0.17710702251950924,quiet_indoor,seated
F-000006,FIXTURE-0006,30000,40000,1,usable,0.22086690392111363,quiet_indoor,walking
F-000006,FIXTURE-0006,40000,50000,1,usable,0.23661238649988978,quiet_indoor,seated
F-000006,FIXTURE-0006,50000,60000,1,usable,0.170857962782583,quiet_indoor,seated
F-000006,FIXTURE-0006,60000,70000,0,usable,0.21183503184182384,quiet_indoor,seated
F-000006,FIXTURE-0006,70000,80000,0,usable,0.2163392141343175,quiet_indoor,walking
F-000006,FIXTURE-0006,80000,90000,0,usable,0.19412491078480965,quiet_indoor,seated
F-000006,FIXTURE-0006,90000,100000,1,usable,0.1824511400579714,quiet_indoor,seated
F-000006,FIXTURE-0006,100000,110000,1,usable,0.1800049465004352,quiet_indoor,seated
F-000006,FIXTURE-0006,110000,120000,1,usable,0.16785356483078123,quiet_indoor,walking
F-000007,FIXTURE-0007,0,10000,1,usable,0.5604828365043197,conversation_noise,seated
F-000007,FIXTURE-0007,10000,20000,1,usable,0.5578411920481277,conversation_noise,seated
F-000007,FIXTURE-0007,20000,30000,1,usable,0.5745201535873949,conversation_noise,seated
F-000007,FIXTURE-0007,30000,40000,0,usable,0.5582394726740643,conversation_noise,walking
F-000007,FIXTURE-0007,40000,50000,0,usable,0.48960391617849325,conversation_noise,seated
F-000007,FIXTURE-0007,50000,60000,0,usable,0.5145290979141777,conversation_noise,seated
F-000007,FIXTURE-0007,60000,70000,1,usable,0.4888828020091505,conversation_noise,seated
F-000007,FIXTURE-0007,70000,80000,1,usable,0.5118456310328914,conversation_noise,walking
F-000007,FIXTURE-0007,80000,90000,1,usable,0.5203790688634086,conversation_noise,seated
F-000007,FIXTURE-0007,90000,100000,0,usable,0.5010854195265104,conversation_noise,seated
F-000007,FIXTURE-0007,100000,110000,0,usable,0.5461089533143177,conversation_noise,seated
F-000007,FIXTURE-0007,110000,120000,0,usable,0.572363231591246,conversation_noise,walking
F-000008,FIXTURE-0008,0,10000,0,usable,0.8424072059476989,outdoor,seated
F-000008,FIXTURE-0008,10000,20000,0,usable,0.8581809557265502,outdoor,seated
F-000008,FIXTURE-0008,20000,30000,0,usable,0.8671716388742539,outdoor,seated
F-000008,FIXTURE-0008,30000,40000,1,usable,0.8421294279326341,outdoor,walking
F-000008,FIXTURE-0008,40000,50000,1,usable,0.7736603547336323,outdoor,seated
F-000008,FIXTURE-0008,50000,60000,1,usable,0.8938783079403139,outdoor,seated
F-000008,FIXTURE-0008,60000,70000,0,usable,0.8144189345543136,outdoor,seated
F-000008,FIXTURE-0008,70000,80000,0,usable,0.8109684845882662,outdoor,walking
F-000008,FIXTURE-0008,80000,90000,0,usable,0.8674375389984372,outdoor,seated
F-000008,FIXTURE-0008,90000,100000,1,usable,0.8161324804282356,outdoor,seated
F-000008,FIXTURE-0008,100000,110000,1,usable,0.8156812100907537,outdoor,seated
F-000008,FIXTURE-0008,110000,120000,1,usable,0.8794095644698106,outdoor,walking
F-000009,FIXTURE-0009,0,10000,1,usable,0.18550993975771493,quiet_indoor,seated
F-000009,FIXTURE-0009,10000,20000,1,usable,0.2076955575279459,quiet_indoor,seated
F-000009,FIXTURE-0009,20000,30000,1,usable,0.18860302986875188,quiet_indoor,seated
F-000009,FIXTURE-0009,30000,40000,0,usable,0.2523125570200455,quiet_indoor,walking
F-000009,FIXTURE-0009,40000,50000,0,usable,0.23134770963007104,quiet_indoor,seated
F-000009,FIXTURE-0009,50000,60000,0,usable,0.17533687001306864,quiet_indoor,seated
F-000009,FIXTURE-0009,60000,70000,1,usable,0.14964606433672428,quiet_indoor,seated
F-000009,FIXTURE-0009,70000,80000,1,usable,0.24121360973435368,quiet_indoor,walking
F-000009,FIXTURE-0009,80000,90000,1,usable,0.20703784996878866,quiet_indoor,seated
F-000009,FIXTURE-0009,90000,100000,0,usable,0.16297391822867252,quiet_indoor,seated
F-000009,FIXTURE-0009,100000,110000,0,usable,0.16881541042176443,quiet_indoor,seated
F-000009,FIXTURE-0009,110000,120000,0,usable,0.21429340973533417,quiet_indoor,walking
F-000010,FIXTURE-0010,0,10000,0,usable,0.5628834354279879,conversation_noise,seated
F-000010,FIXTURE-0010,10000,20000,0,usable,0.5643616307453198,conversation_noise,seated
F-000010,FIXTURE-0010,20000,30000,0,usable,0.5354833881893193,conversation_noise,seated
F-000010,FIXTURE-0010,30000,40000,1,usable,0.5330006514105555,conversation_noise,walking
F-000010,FIXTURE-0010,40000,50000,1,usable,0.5561193721432769,conversation_noise,seated
F-000010,FIXTURE-0010,50000,60000,1,usable,0.5317394125831247,conversation_noise,seated
F-000010,FIXTURE-0010,60000,70000,0,usable,0.5273441243201771,conversation_noise,seated
F-000010,FIXTURE-0010,70000,80000,0,usable,0.4982159461120346,conversation_noise,walking
F-000010,FIXTURE-0010,80000,90000,0,usable,0.5260825501708168,conversation_noise,seated
F-000010,FIXTURE-0010,90000,100000,1,usable,0.5355867284602756,conversation_noise,seated
F-000010,FIXTURE-0010,100000,110000,1,usable,0.5468956888905999,conversation_noise,seated
F-000010,FIXTURE-0010,110000,120000,1,usable,0.5787750690604255,conversation_noise,walking
F-000011,FIXTURE-0011,0,10000,1,usable,0.8488348850864247,outdoor,seated
F-000011,FIXTURE-0011,10000,20000,1,usable,0.8523917694906067,outdoor,seated
F-000011,FIXTURE-0011,20000,30000,1,usable,0.8619945744680882,outdoor,seated
F-000011,FIXTURE-0011,30000,40000,0,usable,0.7791139829240286,outdoor,walking
F-000011,FIXTURE-0011,40000,50000,0,usable,0.8256756271025838,outdoor,seated
F-000011,FIXTURE-0011,50000,60000,0,usable,0.842472131686572,outdoor,seated
F-000011,FIXTURE-0011,60000,70000,1,usable,0.8266716659025926,outdoor,seated
F-000011,FIXTURE-0011,70000,80000,1,usable,0.8880083053520459,outdoor,walking
F-000011,FIXTURE-0011,80000,90000,1,usable,0.8586475155240557,outdoor,seated
F-000011,FIXTURE-0011,90000,100000,0,usable,0.8018852395845172,outdoor,seated
F-000011,FIXTURE-0011,100000,110000,0,usable,0.884214185055326,outdoor,seated
F-000011,FIXTURE-0011,110000,120000,0,usable,0.8585152823725571,outdoor,walking
F-000012,FIXTURE-0012,0,10000,0,usable,0.17192638760689175,quiet_indoor,seated
F-000012,FIXTURE-0012,10000,20000,0,usable,0.247317172857788,quiet_indoor,seated
F-000012,FIXTURE-0012,20000,30000,0,usable,0.14796200368235274,quiet_indoor,seated
F-000012,FIXTURE-0012,30000,40000,1,usable,0.17142394049143356,quiet_indoor,walking
F-000012,FIXTURE-0012,40000,50000,1,usable,0.2667340426769921,quiet_indoor,seated
F-000012,FIXTURE-0012,50000,60000,1,usable,0.24260950391716082,quiet_indoor,seated
F-000012,FIXTURE-0012,60000,70000,0,usable,0.23012602505746796,quiet_indoor,seated
F-000012,FIXTURE-0012,70000,80000,0,usable,0.22006090333949854,quiet_indoor,walking
F-000012,FIXTURE-0012,80000,90000,0,usable,0.20981818432160207,quiet_indoor,seated
F-000012,FIXTURE-0012,90000,100000,1,usable,0.1849720472315264,quiet_indoor,seated
F-000012,FIXTURE-0012,100000,110000,1,usable,0.2329772171580781,quiet_indoor,seated
F-000012,FIXTURE-0012,110000,120000,1,usable,0.2023632273533942,quiet_indoor,walking
F-000013,FIXTURE-0013,0,10000,1,usable,0.5945095661971481,conversation_noise,seated
F-000013,FIXTURE-0013,10000,20000,1,usable,0.6160166809727755,conversation_noise,seated
F-000013,FIXTURE-0013,20000,30000,1,usable,0.5237752824583348,conversation_noise,seated
F-000013,FIXTURE-0013,30000,40000,0,usable,0.5577183389092079,conversation_noise,walking
F-000013,FIXTURE-0013,40000,50000,0,usable,0.5616871436229726,conversation_noise,seated
F-000013,FIXTURE-0013,50000,60000,0,usable,0.5342788379775136,conversation_noise,seated
F-000013,FIXTURE-0013,60000,70000,1,usable,0.5647784882211833,conversation_noise,seated
F-000013,FIXTURE-0013,70000,80000,1,usable,0.5008956223426918,conversation_noise,walking
F-000013,FIXTURE-0013,80000,90000,1,usable,0.5488797855361046,conversation_noise,seated
F-000013,FIXTURE-0013,90000,100000,0,usable,0.6029649123703846,conversation_noise,seated
F-000013,FIXTURE-0013,100000,110000,0,usable,0.5494713913251635,conversation_noise,seated
F-000013,FIXTURE-0013,110000,120000,0,usable,0.526265635659404,conversation_noise,walking
F-000014,FIXTURE-0014,0,10000,0,usable,0.8349305931229254,outdoor,seated
F-000014,FIXTURE-0014,10000,20000,0,usable,0.7940306132756875,outdoor,seated
F-000014,FIXTURE-0014,20000,30000,0,usable,0.8006123525337328,outdoor,seated
F-000014,FIXTURE-0014,30000,40000,1,usable,0.8949875150312999,outdoor,walking
F-000014,FIXTURE-0014,40000,50000,1,usable,0.7876339307341675,outdoor,seated
F-000014,FIXTURE-0014,50000,60000,1,usable,0.8130548810586816,outdoor,seated
F-000014,FIXTURE-0014,60000,70000,0,usable,0.8012929101730247,outdoor,seated
F-000014,FIXTURE-0014,70000,80000,0,usable,0.8268145040030522,outdoor,walking
F-000014,FIXTURE-0014,80000,90000,0,usable,0.8176503027964697,outdoor,seated
F-000014,FIXTURE-0014,90000,100000,1,usable,0.8391783626757752,outdoor,seated
F-000014,FIXTURE-0014,100000,110000,1,usable,0.8398436031912171,outdoor,seated
F-000014,FIXTURE-0014,110000,120000,1,usable,0.8664229128297017,outdoor,walking
